timestamp,underlying.rwa:USD
2023-07-06,2780000000
2023-07-13,2650000000
2023-07-20,2190000000
2023-07-27,2270000000
2023-08-03,1800000000
2023-08-10,1850000000
2023-08-17,1830000000
2023-08-24,1580000000
2023-08-31,1850000000
2023-09-07,1650000000
2023-09-14,1810000000
2023-09-21,1480000000
2023-09-28,1750000000
2023-10-05,1430000000
2023-10-12,1310000000
2023-10-19,1650000000
2023-10-26,1600000000
2023-11-02,970000000
2023-11-09,1310000000
2023-11-16,1810000000
2023-11-24,2060000000
2023-11-30,1850000000
2023-12-07,1700000000
2023-12-14,2250000000
2023-12-21,2530000000
2023-12-28,2620000000
2024-01-04,2870000000
2024-01-11,2810000000
2024-01-18,2980000000
2024-01-25,3320000000
2024-02-01,3180000000
2024-02-08,3260000000
2024-02-15,3210000000
2024-02-22,2880000000
2024-02-29,3300000000
2024-03-07,3580000000
2024-03-14,4059999999.9999995
2024-03-21,4880000000
2024-03-28,4219999999.9999995
2024-04-04,4370000000
2024-04-11,3300000000
2024-04-18,3810000000
2024-04-25,3360000000
2024-05-02,3420000000
2024-05-09,3340000000
2024-05-16,3810000000
2024-05-23,3240000000
2024-05-30,3370000000
2024-06-06,3550000000
2024-06-13,3550000000
2024-06-20,3660000000
2024-06-27,3950000000
2024-07-04,4250000000
2024-07-11,4340000000
2024-07-18,4130000000
2024-07-25,4219999999.9999995
2024-08-01,3370000000
2024-08-08,4490000000
2024-08-15,4510000000
2024-08-22,4170000000
2024-08-29,3870000000
2024-09-05,4390000000
2024-09-12,4630000000
2024-09-19,4550000000
2024-09-26,4840000000
2024-10-03,4090000000
2024-10-10,3740000000
2024-10-17,3800000000
2024-10-24,4050000000
2024-10-31,4340000000
2024-11-07,4860000000
2024-11-14,4440000000
2024-11-21,5830000000
2024-12-05,5650000000
2024-12-12,5800000000
2024-12-19,4930000000
2024-12-26,6050000000
2025-01-02,6510000000
2025-01-09,5200000000
2025-01-16,5750000000
2025-01-23,6060000000
2025-01-30,6250000000
2025-02-06,6830000000
2025-02-13,6750000000
2025-02-20,6880000000
2025-02-27,5900000000
2025-03-06,6960000000
2025-03-13,7370000000
2025-03-20,7190000000
2025-03-27,7010000000
2025-04-03,7000000000
2025-04-10,6670000000
2025-04-17,7710000000
2025-04-24,7900000000
2025-05-01,7690000000
2025-05-15,7330000000
2025-05-22,8090000000
2025-05-29,8010000000
2025-06-05,8210000000.000001
